TestID,Domain,Method,Endpoint,OperationId,RequiredRole,NoToken(PUBLIC),UserToken,ArtisanToken,AdminToken
AUTH-MTX-001,인프라,GET,/actuator/health/liveness,actuator-health-liveness,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-002,인프라,GET,/actuator/health/readiness,actuator-health-readiness,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-003,인프라,GET,/actuator/prometheus,actuator-prometheus,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-004,판매자 신청 (관리자),PATCH,/api/admin/artisans/applications/{applicationId}/pipeline,seller-application-pipeline-update,ADMIN,401 UNAUTHORIZED,403 FORBIDDEN,403 FORBIDDEN,200 OK
AUTH-MTX-005,판매자 신청 (관리자),GET,/api/admin/seller-applications,seller-application-admin-list,ADMIN,401 UNAUTHORIZED,403 FORBIDDEN,403 FORBIDDEN,200 OK
AUTH-MTX-006,판매자 신청 (관리자),GET,/api/admin/seller-applications/{applicationId},seller-application-admin-detail,ADMIN,401 UNAUTHORIZED,403 FORBIDDEN,403 FORBIDDEN,200 OK
AUTH-MTX-007,판매자 신청 (관리자),POST,/api/admin/seller-applications/{applicationId}/approve,seller-application-approve,ADMIN,401 UNAUTHORIZED,403 FORBIDDEN,403 FORBIDDEN,200 OK
AUTH-MTX-008,판매자 신청 (관리자),POST,/api/admin/seller-applications/{applicationId}/reject,seller-application-reject,ADMIN,401 UNAUTHORIZED,403 FORBIDDEN,403 FORBIDDEN,200 OK
AUTH-MTX-009,챗봇,POST,/api/chatbot/sessions,chatbot-session-create,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-010,챗봇,DELETE,/api/chatbot/sessions/{sessionId},chatbot-session-end,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-011,챗봇,GET,/api/chatbot/sessions/{sessionId}/messages,chatbot-message-list,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-012,챗봇,POST,/api/chatbot/sessions/{sessionId}/messages,chatbot-message-send,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-013,콘텐츠,GET,/api/content/products/{productId}/contents,content-get,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-014,콘텐츠,GET,/api/content/products/{productId}/contents/versions,content-version-history,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-015,콘텐츠,PATCH,/api/content/products/{productId}/contents/{contentId},content-bulk-update,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
