도메인,담당자,메소드,엔드포인트,기능명,설명,인증,상태,우선순위,요청(Request),응답(Response),대표에러(Error)
회원,유창민,POST,/api/member/signup,이메일 회원가입,"이메일/비밀번호/비밀번호확인/이름/전화번호와 약관 동의(만14세이상·이용약관·개인정보수집 필수, 마케팅수신 선택)를 받아 계정을 생성한다. 가입 직후 인증 이메일이 자동 발송되며, 인증 전까지는 로그인이 제한된다",Public,예정,P0,"{
  ""method"": ""POST"",
  ""url"": ""/api/member/signup"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  },
  ""body"": {
    ""email"": ""string · 필수 — 이메일 주소"",
    ""password"": ""string · 필수 — 비밀번호(평문 전송, 서버는 해시 저장)"",
    ""passwordConfirm"": ""string · 필수"",
    ""name"": ""string · 필수 — 이름/명칭"",
    ""phone"": ""string · 필수 — 전화번호(하이픈 제외 숫자만)"",
    ""role"": ""string (enum: `USER`(소비자) | `ARTISAN`(장인(판매자)) | `ADMIN`(관리자)) · 필수 — 회원 역할"",
    ""agreements"": {
      ""age14OrOlder"": ""boolean · 필수"",
      ""termsOfService"": ""boolean · 필수"",
      ""privacyCollection"": ""boolean · 필수"",
      ""marketing"": ""boolean · 선택""
    }
  }
}","{
  ""success"": true,
  ""status"": 201,
  ""data"": {
    ""memberId"": ""number — 회원 고유 ID"",
    ""email"": ""string — 이메일 주소"",
    ""status"": ""string (enum: `PENDING_VERIFICATION`(이메일 인증 대기 — 로그인 불가) | `ACTIVE`(활성) | `WITHDRAWN`(탈퇴))""
  }
}","{
  ""success"": false,
  ""status"": 409,
  ""errorCode"": ""CONFLICT""
}"
회원,유창민,POST,/api/member/email-verifications,인증 이메일 재전송,회원가입 시 자동 발송된 인증 이메일을 못 받았거나 링크가 만료된 경우 재전송을 요청한다,Public,예정,P0,"{
  ""method"": ""POST"",
  ""url"": ""/api/member/email-verifications"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  },
  ""body"": {
    ""email"": ""string · 필수 — 이메일 주소""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""expiresInSeconds"": ""number — 유효시간(초)""
  }
}",
회원,유창민,GET,/api/member/email-verifications/verify,이메일 인증 링크 확인,"이메일로 받은 인증 링크의 token을 검증하여 계정을 활성화한다(GET, 브라우저가 링크 클릭 시 직접 호출). 성공/실패와 무관하게 302로 프론트 홈('/')으로 리다이렉트한다",Public,예정,P0,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/email-verifications/verify"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  },
  ""queryParams"": {
    ""token"": ""string · 선택""
  }
}","{
  ""description"": ""302 Redirect → 인증 성공 시 프론트 홈('/')으로 이동(PM 확정, 전용 완료 페이지는 프론트에서 추후 URI 생성 예정). 토큰 만료/위조 등 실패 시의 리다이렉트 대상은 아직 미정""
}",
회원,유창민,GET,/api/member/oauth2/kakao,카카오 로그인,카카오 OAuth2 로그인을 시작한다,Public,예정,P0,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/oauth2/kakao"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  }
}","{
  ""description"": ""302 Redirect → OAuth2 Provider 인가 페이지로 이동 후 콜백에서 accessToken/refreshToken 발급""
}",
회원,유창민,GET,/api/member/oauth2/google,구글 로그인,구글 OAuth2 로그인을 시작한다,Public,예정,P0,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/oauth2/google"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  }
}","{
  ""description"": ""302 Redirect → OAuth2 Provider 인가 페이지로 이동 후 콜백에서 accessToken/refreshToken 발급""
}",
회원,유창민,POST,/api/member/login,로그인,이메일/비밀번호로 로그인한다. 이메일 인증 전 계정은 로그인이 거부된다(403),Public,예정,P0,"{
  ""method"": ""POST"",
  ""url"": ""/api/member/login"",
  ""headers"": {
    ""Content-Type"": ""application/json""
  },
  ""body"": {
    ""email"": ""string · 필수 — 이메일 주소"",
    ""password"": ""string · 필수 — 비밀번호(평문 전송, 서버는 해시 저장)""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""accessToken"": ""string"",
    ""refreshToken"": ""string"",
    ""member"": {
      ""memberId"": ""number — 회원 고유 ID"",
      ""email"": ""string — 이메일 주소"",
      ""name"": ""string — 이름/명칭"",
      ""nickname"": ""string — 닉네임"",
      ""role"": ""string (enum: `USER`(소비자) | `ARTISAN`(장인(판매자)) | `ADMIN`(관리자)) — 회원 역할"",
      ""profileImageUrl"": ""string — 프로필 이미지 URL""
    }
  }
}","{
  ""success"": false,
  ""status"": 401,
  ""errorCode"": ""UNAUTHORIZED""
}"
회원,유창민,POST,/api/member/logout,로그아웃,현재 인증 세션을 종료한다,Authenticated,예정,P0,"{
  ""method"": ""POST"",
  ""url"": ""/api/member/logout"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": ""null""
}",
회원,유창민,GET,/api/member/me,내 정보 조회,현재 로그인한 회원 정보를 조회한다,Authenticated,예정,P0,"{
  ""method"": ""GET"",
  ""url"": ""/api/member/me"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""memberId"": ""number — 회원 고유 ID"",
    ""email"": ""string — 이메일 주소"",
    ""name"": ""string — 이름/명칭"",
    ""nickname"": ""string — 닉네임"",
    ""role"": ""string (enum: `USER`(소비자) | `ARTISAN`(장인(판매자)) | `ADMIN`(관리자)) — 회원 역할"",
    ""profileImageUrl"": ""string — 프로필 이미지 URL""
  }
}",
회원,유창민,PATCH,/api/member/me,내 정보 수정,회원 기본 정보를 수정한다,Authenticated,예정,P1,"{
  ""method"": ""PATCH"",
  ""url"": ""/api/member/me"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""name"": ""string · 선택 — 이름/명칭"",
    ""nickname"": ""string · 선택 — 닉네임"",
    ""phone"": ""string · 선택 — 전화번호(하이픈 제외 숫자만)""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": {
    ""memberId"": ""number — 회원 고유 ID"",
    ""email"": ""string — 이메일 주소"",
    ""name"": ""string — 이름/명칭"",
    ""nickname"": ""string — 닉네임"",
    ""role"": ""string (enum: `USER`(소비자) | `ARTISAN`(장인(판매자)) | `ADMIN`(관리자)) — 회원 역할"",
    ""profileImageUrl"": ""string — 프로필 이미지 URL""
  }
}",
회원,유창민,PATCH,/api/member/me/password,비밀번호 변경,현재 비밀번호를 변경한다,Authenticated,예정,P1,"{
  ""method"": ""PATCH"",
  ""url"": ""/api/member/me/password"",
  ""headers"": {
    ""Content-Type"": ""application/json"",
    ""Authorization"": ""Bearer {accessToken}""
  },
  ""body"": {
    ""currentPassword"": ""string · 선택"",
    ""newPassword"": ""string · 선택""
  }
}","{
  ""success"": true,
  ""status"": 200,
  ""data"": ""null""
}","{
  ""success"": false,
  ""status"": 400,
  ""errorCode"": ""MISMATCH""
}"
