artisan_id,seller_name,artisan_name,studio_name,region,category_id,category_code,category_name,specialty,description,website_url,source_url,verification_status,is_real_data
S006,이종덕 소반공방,이종덕,소반공방,전북 전주,1,KITCHEN,키친·다이닝,국가무형유산 소반장 전수교육사,나주반 및 해주반 전통 소반 제작,http://www.kpicaa.co.kr,https://nihc.go.kr,verified_3,true
S011,김수영 방짜유기,김수영,안성방짜유기,경기 안성,1,KITCHEN,키친·다이닝,국가무형유산 유기장,전통 징 및 방짜유기 식기 제작,http://www.유기.kr,https://nihc.go.kr,verified_3,true
S012,이형근 방짜유기,이형근,방짜유기공방,경남 거창,1,KITCHEN,키친·다이닝,국가무형유산 유기장 보유자,방짜유기 옥식기 및 옥수저 제작,http://www.yugi.or.kr,https://support.nihc.go.kr,verified_3,true
S013,광주요,조태권,광주요 헤리티지,경기 이천,1,KITCHEN,키친·다이닝,전통 도자 식기 브랜드,왕실 진상 도자기 재현 다기 및 접시,https://www.kwangjuyo.com,https://www.kcdfshop.kr,verified_3,true
S014,김정옥 영남요,김정옥,영남요,경북 문경,1,KITCHEN,키친·다이닝,국가무형유산 사기장,백자 달항아리 및 전통 분청 다기,http://www.youngnamyo.com,https://nihc.go.kr,verified_3,true
S015,신정희 요업,신한균,신정희요,경남 양산,1,KITCHEN,키친·다이닝,경남 무형유산 사기장,전통 이도다완 및 찻잔 제작,http://www.shindawan.com,https://kcdf.or.kr,verified_3,true
S016,징광옹기,한향림,징광옹기,전남 보성,1,KITCHEN,키친·다이닝,전남 무형유산 옹기장,전통 천연잿물 옹기 및 항아리,http://www.jingkwang.co.kr,https://kcdfshop.kr,verified_3,true
S017,허진규 옹기장,허진규,외고산 옹기공방,울산 울주,1,KITCHEN,키친·다이닝,울산 무형유산 옹기장,전통 숨쉬는 옹기 항아리 및 옹기 솥,http://www.onggi.or.kr,https://nihc.go.kr,verified_3,true
S018,남원목기공예,박성술,남원목기,전북 남원,1,KITCHEN,키친·다이닝,전북 무형유산 제기장,전통 칠기 및 옻칠 제기 세트,http://www.namwonmokgi.com,https://nonghyupmall.com,verified_3,true
S019,남원제기 예원,강상원,남원예원제기,전북 남원,1,KITCHEN,키친·다이닝,전통 목공예 제기 명가,옻칠 목제기 및 옥제기,http://www.yewonjegi.co.kr,https://buddhazone.co.kr,verified_2,true
