subcategory_code,category_code,name
다완,POTTERY,다완
찻잔,POTTERY,찻잔
접시,POTTERY,접시
화병,POTTERY,화병
대접,POTTERY,대접
수반,POTTERY,수반
항아리,POTTERY,항아리
잔받침,POTTERY,잔받침
다기세트,POTTERY,다기세트
머그,POTTERY,머그
장독,ONGGI,장독
김치독,ONGGI,김치독
물항아리,ONGGI,물항아리
화분,ONGGI,화분
술독,ONGGI,술독
젓갈독,ONGGI,젓갈독
곡물독,ONGGI,곡물독
소반,NACRE,소반
함,NACRE,함
보석함,NACRE,보석함
문갑,NACRE,문갑
트레이,NACRE,트레이
거울함,NACRE,거울함
자개장식품,NACRE,자개장식품
손수건,DYEING,손수건
스카프,DYEING,스카프
보자기,DYEING,보자기
방석,DYEING,방석
앞치마,DYEING,앞치마
파우치,DYEING,파우치
이불,DYEING,이불
테이블러너,DYEING,테이블러너
반닫이,WOOD,반닫이
책상,WOOD,책상
소반,WOOD,소반
서랍장,WOOD,서랍장
문갑,WOOD,문갑
도마,WOOD,도마
트레이,WOOD,트레이
의자,WOOD,의자
촛대,METAL,촛대
수저세트,METAL,수저세트
향로,METAL,향로
장신구함,METAL,장신구함
브로치,METAL,브로치
노리개,METAL,노리개
다기받침,METAL,다기받침
합죽선,FAN,합죽선
접선,FAN,접선
태극선,FAN,태극선
부채,FAN,부채
