TestID,Domain,Method,Endpoint,OperationId,RequiredRole,NoToken,UserToken,ArtisanToken,AdminToken
AUTH-MTX-001,챗봇,POST,/api/chatbot/sessions,chatbot-session-create,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-002,챗봇,DELETE,/api/chatbot/sessions/{sessionId},chatbot-session-end,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-003,챗봇,GET,/api/chatbot/sessions/{sessionId}/messages,chatbot-message-list,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-004,챗봇,POST,/api/chatbot/sessions/{sessionId}/messages,chatbot-message-send,PUBLIC,200 OK,200 OK,200 OK,200 OK
AUTH-MTX-005,콘텐츠,GET,/api/content/products/{productId}/contents,content-get,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-006,콘텐츠,GET,/api/content/products/{productId}/contents/versions,content-version-history,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-007,콘텐츠,PATCH,/api/content/products/{productId}/contents/{contentId},content-bulk-update,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-008,콘텐츠,POST,/api/content/products/{productId}/contents/{contentId}/approve,content-approve,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-009,콘텐츠,PATCH,/api/content/products/{productId}/contents/{contentId}/blocks/{nodeId},content-block-update,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-010,콘텐츠,POST,/api/content/products/{productId}/contents/{contentId}/reject,content-reject,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-011,콘텐츠,POST,/api/content/products/{productId}/contents/{contentId}/submit,content-submit,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-012,AI 콘텐츠 생성,POST,/api/content/products/{productId}/generations,generation-request,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-013,AI 콘텐츠 생성,GET,/api/content/products/{productId}/generations/{generationId},generation-poll-,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-014,콘텐츠,GET,/api/content/products/{productId}/interview,interview-find,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-015,콘텐츠,POST,/api/content/products/{productId}/interview,interview-create,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-016,콘텐츠,PATCH,/api/content/products/{productId}/interview,interview-update,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-017,콘텐츠,POST,/api/content/products/{productId}/publish,content-publish,ARTISAN,401 UNAUTHORIZED,403 FORBIDDEN,200 OK,200 OK
AUTH-MTX-018,이미지,POST,/api/images/presigned-url,image-presigned-url,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-019,이미지,DELETE,/api/images/{imageId},image-delete,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-020,장인,GET,/api/member/artisans,artisan-list,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-021,판매자 신청,POST,/api/member/artisans/applications,seller-application-apply,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-022,판매자 신청,GET,/api/member/artisans/applications/me,seller-application-mine,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-023,장인,GET,/api/member/artisans/me,artisan-mine,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-024,장인,PATCH,/api/member/artisans/me,artisan-update,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-025,장인 구독,GET,/api/member/artisans/subscriptions,member-subscriptions,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-026,장인 구독,PATCH,/api/member/artisans/subscriptions/notifications,member-notifications,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-027,장인,GET,/api/member/artisans/{artisanId},artisan-detail,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
AUTH-MTX-028,장인 구독,POST,/api/member/artisans/{artisanId}/subscribe,member-subscribe,USER,401 UNAUTHORIZED,200 OK,200 OK,200 OK
